Program,Enrollment Year,Gender,DOB,District,Country,Education Background,GPA,Professional Engagement,Mothers Profession,Fathers Profession,Status,Withdrawn or Graduate Date (mm.dd.yy),Reason for Withdrawal,Year,Actual Concentration
MBA,2015,Male,,Kavreplanchok,Nepal ,Bachelor of Business Administration,,Employed,,,Graduate,"April 28, 2017",,2017,Financial Management 
MBA,2015,Female,,Makwanpur,Nepal ,Bachelor of Business Administration,,Employed,,,Graduate,"April 28, 2017",,2017,Human Resources Management 
MBA,2015,Male,,Makwanpur,Nepal ,Bachelor of Business Administration,,Employed,,,Graduate,"April 28, 2017",,2017,Entrepreneurship 
MBA,2015,Male,,Kathmandu,Nepal ,Bachelor's Degree in Computer Engineering,,Employed,,,Graduate,"April 28, 2017",,2017,Financial Management 
MBA,2015,Female,,Parsa,Nepal ,Bachelor of Business Administration,,Employed,,,Graduate,"April 28, 2017",,2017,Financial Management 
MBA,2015,Male,,Syangja,Nepal ,Bachelor of Business Administration,,Employed,,,Graduate,"April 28, 2017",,2017,Human Resources Management 
MBA,2015,Male,,Sunsari,Nepal ,Bachelor's Degree in Business Management,,Employed,,,Graduate,"April 28, 2017",,2017,Financial Management 
MBA,2015,Male,,Bardiya,Nepal ,Bachelor of Business Administration,,Employed,,,Graduate,"August 25, 2017",,2017,Financial Management 
MBA,2015,Male,,Kathmandu,Nepal ,Bachelor of Business Administration,,Employed,,,Graduate,"May 6, 2017",,2017,Financial Management 
MBA,2015,Male,,Kathmandu,Nepal ,Bachelor's Degree in Commerce,,Employed,,,Graduate,"April 28, 2017",,2017,Financial Management 
MBA,2015,Female,,Morang,Nepal ,Bachelor of Business Administration,,Employed,,,Graduate,"April 28, 2017",,2017,Marketing Management
MBA,2015,Male,,Dhanusa,Nepal ,Bachelor's Degree in Computer Application,,Employed,,,Graduate,"April 28, 2017",,2017,Marketing Management
MBA,2015,Male,,Bhaktapur,Nepal ,Bachelor of Business Administration,,Employed,,,Graduate,"April 28, 2018",,2018,Marketing Management
MBA,2015,Male,,Kathmandu,Nepal ,Bachelor's Degree in Hotel Management,,Employed,,,Graduate,"April 28, 2017",,2017,Marketing Management
MBA,2015,Male,,Nuwakot,Nepal ,Bachelor of Business Administration,,Entrepreneur,,,Graduate,"August 25, 2017",,2017,Human Resources Management 
MBA,2015,Male,,Lalitpur,Nepal ,Bachelor of Business Administration,,Employed,,,Graduate,"April 28, 2017",,2017,Marketing Management
MBA,2015,Female,,Kathmandu,Nepal ,Bachelor's Degree in Business Studies,,Entrepreneur,,,Graduate,"April 28, 2017",,2017,Financial Management 
MBA,2015,Female,,Kathmandu,Nepal ,Bachelor of Business Administration,,Employed,,,Graduate,"April 28, 2017",,2017,Human Resources Management 
MBA,2015,Female,,Jhapa,Nepal ,Bachelor's Degree in Business Studies,,Employed,,,Graduate,"March 4, 2019",,2019,Human Resources Management 
MBA,2015,Male,,Lalitpur,Nepal ,Bachelor's Degree in Business Studies,,Employed,,,Graduate,"October 21, 2017",,2017,Human Resources Management 
MBA,2015,Female,,Kavreplanchok,Nepal ,Bachelor's Degree in Business Studies,,Employed,Business,Business,Graduate,"April 28, 2017",,2017,Financial Management 
MBA,2015,Male,,Kathmandu,Nepal ,Bachelor of Business Administration,,Employed,,,Graduate,"April 28, 2017",,2017,Human Resources Management 
MBA,2015,Female,,Kathmandu,Nepal ,Bachelor's Degree in Business Studies,,Employed,,,Graduate,"April 28, 2017",,2017,Financial Management 
MBA,2015,Female,,Rupandehi,Nepal ,Bachelor's Degree in Business Studies,,Employed,,,Graduate,"April 28, 2017",,2017,Financial Management 
MBA,2015,Female,,Kavreplanchok,Nepal ,Bachelor of Business Administration,,Employed,,,Graduate,"April 28, 2017",,2017,Human Resources Management 
MBA,2015,Female,,Dhanusa,Nepal ,Bachelor's Degree in Business Studies,,Employed,,,Graduate,"April 28, 2017",,2017,Human Resources Management 
MBA,2015,Female,,Kathmandu,Nepal ,Bachelor of Business Administration,,Unemployed,,,Graduate,"April 28, 2017",,2017,Human Resources Management 
MBA,2015,Female,,Makwanpur,Nepal ,Bachelor's Degree in Information Management,,Unemployed,,,Graduate,"April 28, 2017",,2017,Financial Management 
MBA,2015,Female,,Kathmandu,Nepal ,Bachelor's Degree in Business Studies,,Unemployed,,,Graduate,"August 25, 2017",,2017,Financial Management 
MBA,2015,Male,,Kathmandu,Nepal ,Bachelor of Business Administration,,Employed,,,Graduate,"April 28, 2017",,2017,Financial Management 
MBA,2015,Male,,Kavreplanchok,Nepal ,Bachelor's Degree in Business Studies,,Employed,,,Graduate,"April 28, 2017",,2017,Financial Management 
MBA,2015,Female,,Kathmandu,Nepal ,Bachelor's Degree in Electronics and Communication Engineering,,Employed,,,Graduate,"April 28, 2017",,2017,Human Resources Management 
MBA,2015,Female,,Banke,Nepal ,Bachelor of Business Administration,,Employed,,,Graduate,"April 28, 2017",,2017,Marketing Management
MBA,2015,Male,,Kathmandu,Nepal ,Bachelor's Degree in Information Management,,Employed,,,Withdrawn ,"July 7, 2016",Personal Reason,2016,Pending 
MBA,2015,Male,,Kathmandu,Nepal ,Bachelor of Business Administration,,Employed,,,Withdrawn ,"March 15, 2016",Financial Problem,2016,Pending 
MBA,2015,Male,,Parwat,Nepal ,Bachelor of Business Administration,,Employed,,,Withdrawn ,"November 8, 2015",Financial Problem,2015,Financial Management 
MBA,2015,Male,,Kathmandu,Nepal ,Bachelor of Business Administration,,Employed,,,Withdrawn ,"November 9, 2015",Personal Reason,2015,Pending 
MBA,2015,Male,,Kathmandu,Nepal ,Bachelor of Business Administration,,Employed,,,Withdrawn ,"September 16, 2015",No specific Reason,2015,Pending 
MBA,2015,Female,,Kathmandu,Nepal ,Bachelor of Business Administration,,Employed,,,Withdrawn ,"December 28, 2015",No specific Reason,2015,Pending 
MBA,2015,Male,,Kathmandu,Nepal ,Bachelor of Business Administration,,Employed,,,Withdrawn ,"October 26, 2015",Personal Reason,2015,Pending 
MBA,2015,Male,,Kathmandu,Nepal ,Bachelor of Business Administration,,Employed,,,Withdrawn ,"September 16, 2015",Personal Reason,2015,Pending 
MBA,2015,Female,,Kathmandu,Nepal ,Bachelor of Business Administration,,Employed,,,Withdrawn ,"September 16, 2015",No specific Reason,2015,Pending 
MBA,2015,Female,,Kathmandu,Nepal ,Bachelor of Business Administration,,Employed,,,Withdrawn ,"September 16, 2015",No specific Reason,2015,Pending 
MBA,2015,Male,,Kathmandu,Nepal ,Bachelor's Degree in Development Finance,,Employed,,,Withdrawn ,"December 28, 2015",No specific Reason,2015,Pending 
MBA,2015,Male,,Kathmandu,Nepal ,Bachelor's Degree in Commerce,,Employed,,,Withdrawn ,"March 15, 2016",Personal Reason,2016,Pending 
MBA,2015,Female,,kathmandu,Nepal ,Bachelor of Business Administration,,Employed,,,Withdrawn ,"November 8, 2015",Abroad Study,2015,Pending 
MBA,2015,Male,,Kathmandu,Nepal ,Bachelor of Business Administration,,Employed,,,Withdrawn ,"December 28, 2015",Personal Reason,2015,Pending 
MBA,2015,Male,,Rauthat,Nepal ,Bachelor of Business Administration,,Employed,,,Withdrawn ,"March 15, 2016",Administrative withdrawal,2016,Pending 
MBA,2015,Female,,Kathmandu,Nepal ,Bachelor of Business Administration,,Employed,,,Withdrawn ,"September 16, 2015",Work Commitment,2015,Pending 
MBA,2015,Female,,Kathmandu,Nepal ,Bachelor of Business Administration,,Employed,,,Withdrawn ,"February 7, 2016",No specific Reason,2016,Pending 
MBA,2015,Male,,Kathmandu,Nepal ,Bachelor of Business Administration,,Employed,,,Withdrawn ,"November 8, 2015",Personal Reason,2015,Pending 
MBA,2015,Male,,Kathmandu,Nepal ,Bachelor of Business Administration,,Employed,,,Withdrawn ,"November 8, 2015",Personal Reason,2015,Pending 
MBA,2015,Male,,Sunsari,Nepal ,Bachelor's Degree in Hotel Management,,Employed,,,Withdrawn ,"December 28, 2015",Personal Reason,2015,Pending 
MBA,2015,Female,,Bhaktapur,Nepal ,Bachelor's Degree in Business Studies,,Employed,,,Withdrawn ,"September 7, 2016",Personal Reason,2016,Pending 
MBA,2015,Female,,Kathmandu,Nepal ,Bachelor of Business Administration,,Employed,,,Withdrawn ,"February 17, 2017",Abroad Study,2017,Pending 
MBA,2015,Female,,Kathmandu,Nepal ,Bachelor of Business Administration,,Employed,,,Withdrawn ,"February 17, 2017",Administrative withdrawal,2017,Entrepreneurship 
MBA,2015,Male,,Kathmandu,Nepal ,Bachelor's Degree in Hotel Management,,Entrepreneur,,,Withdrawn ,"February 17, 2017",Administrative withdrawal,2017,Financial Management 
MBA,2015,Female,,Kathmandu,Nepal ,Bachelor of Business Administration,,Employed,,,Withdrawn ,"February 17, 2017",Administrative withdrawal,2017,Entrepreneurship 
MBA,2015,Female,,Kathmandu,Nepal ,Bachelor Degree in Humanties and Social Science,,Entrepreneur,,,Withdrawn ,"October 23, 2017",Administrative withdrawal,2017,Entrepreneurship 
MBA,2015,Female,,Kathmandu,Nepal ,Bachelor's Degree in Business Management,,Entrepreneur,,,Withdrawn ,"March 13, 2017",Administrative withdrawal,2017,Marketing Management
MBA,2015,Male,,Kathmandu,Nepal ,Bachelor of Business Administration,,Employed,,,Withdrawn ,"March 16, 2018",Administrative withdrawal,2018,Entrepreneurship 
MBA,2015,Male,,Kathmandu,Nepal ,Bachelor's Degree in Business Studies,,Entrepreneur,,,,,,1899,
FALSE,,,,,,,,,,,,,,1899,
FALSE,,,,,,,,,,,Withdrawn ,"December 31, 2020",Administrative withdrawal,2020,Pending 
MBA,2019,Male,04/27/1993,Kathmandu,Nepal,Bachelor of science,,Employed,Service,Engineer,Withdrawn ,"December 19, 2019",Health Issues,2019,Pending 
MBA,2019,Female,08/14/1996,Chitwan,Nepal,Bachelor's Degree in Business Studies,56.55,Unemployed,House wife,Passed away,Graduate,"October 28, 2021",,2021,Human Resources Management 
MBA,2019,Female,08/181995,Kathmandu,Nepal,Bachelor of Business Administration,2.77,Employed,TEACHER,MUSICIAN,Graduate,"January 11, 2022",,2022,Marketing Management
MBA,2019,Male,11/28/1992,Kathmandu,Nepal,Bachelor of Business Administration in Banking and Insurance,2.35,Employed,Accountant,Finance Manager,Graduate,"October 28, 2021",,2021,Technology and Innovation
MBA,2019,Male,04/16/1993,Lamjung,Nepal,Bachelor of Computer Engineering,2.37,Employed,HouseWife,Service Nepal Government,,,,1899,
FALSE,,,,,,,,,,,Graduate,"October 28, 2021",,2021,Entrepreneurship 
MBA,2019,Female,08/17/1997,Lalitpur,Nepal,Bachelor of Business Administration,3.14,Employed,Social worker,Retired govt 1st class officer,Graduate,"January 11, 2022",,2022,Dual (Marketing & HRM)
MBA,2019,Female,08/31/1997,Bhaktapur,Nepal,Bachelor of Business Administration,3.55,Employed,Teacher,Business,Graduate,"October 28, 2021",,2021,Marketing Management
MBA,2019,Female,10/20/1996,Kathmandu,Nepal,Bachelor's Degree in Business Administration,3.7,Employed,Beauty Expert ,Liason Officer,Withdrawn ,"May 29, 2020",Financial Problem,2020,Pending 
MBA,2019,Male,08/03/1996,Siraha,Nepal,Bachelor of Business Administration,,,,,Graduate,"October 28, 2021",,2021,Entrepreneurship 
MBA,2019,Male,20/07/1996,Kathmandu,Nepal,Bachelor of Business Administration,2.92,Employed,Housewife,Businessman,Graduate,"October 28, 2021",,2021,Entrepreneurship 
MBA,2019,Female,09/01/1997,Banke,Nepal,Bachelor's Degree in Business Administration,3.29,,,,Graduate,"October 28, 2021",,2021,Human Resources Management 
MBA,2019,Male,09/27/1992,Kathmandu,Nepal,Bachelor of Business Administration,3.64,,,,Withdrawn ,"November 1, 2020",Work Commitment,2020,Entrepreneurship 
MBA,2019,Female,08/03/1995,Kathmandu,Nepal,Bachelor of Business Administration,,Employed,- ,Retired,Graduate,"October 28, 2021",,2021,Financial Management 
MBA,2019,Female,08/20/1996,Baglung,Nepal,Bachelor's Degree in Business Administration,3.73,Employed,Business,Business,Graduate,"October 28, 2021",,2021,Entrepreneurship 
MBA,2019,Male,12/22/1997,Mahottari,Nepal,Bachelor of Business Administration,,Entrepreneur,Home maker ,Business man ,Graduate,"October 28, 2021",,2021,Marketing Management
MBA,2019,Female,24/12/1993,Kathmandu,Nepal,Bachelor of Business Administration,,,,,Graduate,"October 28, 2021",,2021,Human Resources Management 
MBA,2019,Female,10/03/1995,Pyuthan,Nepal,Bachelor of Business Administration,3.25,Employed,homemaker,businessman ,Graduate,"October 28, 2021",,2021,Human Resources Management 
MBA,2019,Male,02/15/1992,Kathmandu,Nepal,Bachelor of Business Information Systems,2.85,Employed,Managing Director,Store Manager,Graduate,"October 28, 2021",,2021,Entrepreneurship 
MBA,2019,Male,25/12/1994,Kathmandu,Nepal,Bachelor's Degree in Computer science,67.24,Unemployed,Housewife,Retired,Graduate,"October 28, 2021",,2021,Financial Management 
MBA,2019,Female,11/04/1992,Kathmandu,Nepal,Bachelor of Business Administration,2.58,Employed,House wife,Proprietor ,Withdrawn ,,Personal Reason,1899,Pending 
MBA,2019,Male,03/21/1996,Lalitpur,Nepal,Bachelor of Business Administration,2.32,Employed,Service,Service,Graduate,"October 28, 2021",,2021,Agribusiness Management
MBA,2019,Female,08/27/1995,Bhaktapur,Nepal,Bachelor of Veterinary Science and Animal Husbandry,3.73,Employed,Agribusiness,Agribusiness/ Homeopathic Clinician,Withdrawn ,,Administrative withdrawal,1899,Entrepreneurship 
MBA,2019,Male,02/23/1998,,Nepal,Bachelor of Business Administration,,,,,Graduate,"October 28, 2021",,2021,Entrepreneurship 
MBA,2019,Male,27/05/1995,Kathmandu,Nepal,Bachelor of Business Administration,3.48,Unemployed,Business,Business,Graduate,"October 28, 2021",,2021,Human Resources Management 
MBA,2019,Female,02/02/1996,Sarlahi,Nepal,Bachelor of Business Administration,2.32,Employed,Teacher,"Founder, Chairman",Graduate,"October 28, 2021",,2021,Entrepreneurship 
MBA,2019,Male,03/05/1996,Bhaktapur,Nepal,Bachelor of Business Administration,3.04,Employed,House Wife,Business man,Graduate,"October 28, 2021",,2021,Human Resources Management 
MBA,2019,Male,27/03/1995,Sindhuli,Nepal,Bachelor of Business Administration,3.38,Unemployed,Accountant,Government Officer,Graduate,"October 28, 2021",,2021,Marketing Management
MBA,2019,Female,09/26/1996,Siraha,Nepal,Bachelor of Business Administration,,Unemployed,Housewife,Businessman,Graduate,"April 24, 2022",,2022,Entrepreneurship 
MBA,2019,Male,08/18/1996,Kathmandu,Nepal,Bachelor of Business Administration,2.36,Unemployed,Supervisor,Retired,,,,1899,
FALSE,,,,,,Advanced Diploma in Business Administration,,,,,Readmission-Withdrawn,"Sep 3, 2021",Administrative withdrawal,2021,Dual (Marketing & HRM)
MBA,2019,Female,10/30/1995,Kathmandu,Nepal,Bachelor of Business Administration,,Employed,Homemaker,Consultant and Businessman,,,,1899,
FALSE,,,,,,,,,,,Graduate,"December 19, 2019",,2019,Technology and Innovation
MBA,2020,Male,11/15/1988,Kathmandu,Nepal,Bachelor's Degree in Electronics and Communication Engineering,69.75,Employed,Business,Business,Graduate,"December 19, 2019",,2019,Human Resources Management 
MBA,2020,Male,03/15/1995,Kathmandu,Nepal,Bachelor's Degree in Business Studies,51.5,Employed,Housemaker,Retired Police Officer,Graduate,"December 19, 2019",,2019,Marketing Management
MBA,2020,Male,02/04/1997,Jajarkot,Nepal,Bachelor of Business Administration,3.41,Employed,Service,Service,Graduate,"March 12, 2022",,2022,Agribusiness Management
MBA,2020,Male,06/13/1996,Kalikot,Nepal,Bachelor of Science in Agriculture,72.17,Employed,Housewife,Business,Graduate,"December 19, 2019",,2019,Technology and Innovation
MBA,2020,Male,06/01/1992,Lamjung,Nepal,Bachelor's Degree in Computer Engineering,58.08,Employed,Family business,Family business,Readmission- Graduate,"August 21, 2022",,2022,Marketing Management
MBA,2020,Male,03/27/1995,Jhapa,Nepal,Bachelor of Business Administration,,,,,Graduate,"January 11, 2022",,2022,Financial Management 
MBA,2020,Female,23/11/1993,Kathmandu,Nepal,Bachelor of Science in Environmental Science,,Employed,Service,Service,Graduate,"December 19, 2019",,2019,Human Resources Management 
MBA,2020,Male,09/14/1990,Lalitpur,Nepal,Bachelor's Degree in Business Studies,42.71,Employed,Working Abroad,Working Abroad,Graduate,"December 19, 2019",,2019,Entrepreneurship 
MBA,2020,Female,06/28/1993,Kathmandu,Nepal,Bachelor of Business Administration,3.08,Employed,Housewife,WASH Coordinator,Graduate,"December 19, 2019",,2019,Technology and Innovation
MBA,2020,Female,09/19/1994,Lamjung,Nepal,Bachelor of Science in Computing,46.3,Unemployed,Social worker,Gov. Engineer,Graduate,"December 19, 2019",,2019,Nonprofit Management
MBA,2020,Female,03/21/1996,Lalitpur,Nepal,Bachelor of Business Administration,3.15,Employed,Self-employed,Self-employed,Graduate,"March 12, 2022",,2022,Entrepreneurship 
MBA,2020,Female,07/05/1996,Dhanusa,Nepal,Bachelor's Degree in Science and Technology,53.45,Employed,Housewife,Businessman,Withdrawn ,"June 26, 2020",Personal Reason,2020,Pending 
MBA,2020,Female,12/12/1993,Kathmandu,Nepal,Bachelor of Business Information Systems,3.2,Employed,N/A,Business,Graduate,"December 19, 2019",,2019,Entrepreneurship 
MBA,2020,Male,11/24/1998,Kathmandu,Nepal,Bachelor's Degree in Information Technology,3.21,Unemployed,Housewife,Engineer,Graduate,"December 19, 2019",,2019,Technology and Innovation
MBA,2020,Male,12/26/1995,Nuwakot,Nepal,Bachelor of Science In Computer Science And Information Technology,75.86,Employed,Housewife,Retired Government Employee,Graduate,"December 19, 2019",,2019,Entrepreneurship 
MBA,2020,Female,01/11/1996,Kathmandu,Nepal,Bachelor of Science In Computer Science And Information Technology,76.17,Employed,Teacher,Retired,Graduate,"December 19, 2019",,2019,Marketing Management
MBA,2020,Male,05/27/1994,Syangja,Nepal,Bachelor of Business Administration,3.63,,,,Graduate,"December 19, 2019",,2019,Technology and Innovation
MBA,2020,Male,09/06/1995,Baglung,Nepal,Bachelor of Computer Engineering ,2.66,Entrepreneur,House Wife,Ex- Indian Army,Withdrawn ,March 6,Work Commitment,2020,Pending 
MBA,2020,Female,03/26/1996,Lalitpur,Nepal,Bachelor of Business Administration,,Employed,service,service,Graduate,"December 19, 2019",,2019,Entrepreneurship 
MBA,2020,Male,05/01/1995,Bhaktapur,Nepal,Bachelor's Degree in Business Studies,48.83,Entrepreneur,Housewife,Business Man,Graduate,"March 12, 2022",,2022,Agribusiness Management
MBA,2020,Male,01/16/1996,Sindhupalchauk,Nepal,Bachelor of Science in Agriculture,74.33,Unemployed,House wife,Retailer,,,,1899,
FALSE,,,,,,,,,,,Graduate,"March 12, 2022",,2022,Technology and Innovation
MBA,2020,Male,01/26/1997,Kathmandu,Nepal,Bachelor of Computer Engineering ,3.66,Employed,N/A,Service,Withdrawn ,"July 13, 2020",Personal Reason,2020,Pending 
MBA,2020,Male,02/08/1996,Kathmandu,Nepal,Bachelor of Science In Computer Science And Information Technology,,,,,Withdrawn ,"January 19, 2022",Administrative withdrawal,2022,Financial Management 
MBA,2020,Male,01/13/1994,Dhankutta,Nepal,Bachelor's Degree in Business Studies,53.55,Unemployed,House Wife,Contractor,Withdrawn ,"May 29, 2020",Work Commitment,2020,Pending 
MBA,2020,Female,06/02/1996,Morang,Nepal,Bachelor of Business Administration,3.2,,,,Graduate,"April 4, 2022",,2022,Technology and Innovation
MBA,2020,Female,06/22/1994,Kathmandu,Nepal,Bachelor of Business(Accounting),2.95,,,,Graduate,"March 12, 2022",,2022,Entrepreneurship 
MBA,2020,Male,01/30/1996,Bhaktapur,Nepal,Bachelor of Business Administration in Banking and Insurance,3.24,Employed,Housewife,Businessman,Graduate,"March 12, 2022",,2022,Entrepreneurship 
MBA,2020,Male,04/04/1994,Kathmandu,Nepal,Bachelor in computer information system,3,Entrepreneur,N/A,N/A,Graduate,"March 12, 2022",,2022,Dual (Entrepreneurship & HRM)
MBA,2020,Female,11/24/1995,Bhaktapur,Nepal,Bachelor's Degree in Development Finance,3.09,Employed,Housewife,Businessman,Graduate,"March 12, 2022",,2022,Entrepreneurship 
MBA,2020,Male,05/17/1997,Kathmandu,Nepal,Bachelor of Computer Engineering ,8.38,,,,Graduate,"March 12, 2022",,2022,Entrepreneurship 
MBA,2020,Male,09/27/1997,Dang,Nepal,Bachelor's Degree in Development Finance,2.79,Employed,Housewife,Employee,Withdrawn ,"July 10, 2020",Financial Problem,2020,Pending 
MBA,2020,Female,12/07/1994,Kathmandu,Nepal,Bachelor of Business Administration,3.03,,,,Graduate,"March 12, 2022",,2022,Dual (Entrepreneurship & Finance)
MBA,2020,Male,10/05/1997,Kathmandu,Nepal,Bachelor of Business Administration,3.61,Unemployed,Retired,Retired,Graduate,"March 12, 2022",,2022,Entrepreneurship 
MBA,2020,Female,08/01/1996,Gulmi,Nepal,Bachelor of Business Administration,3.28,Unemployed,Service,Advocate,Readmission- Graduate,"October 31, 2022",,2022,Human Resources Management 
MBA,2020,Female,11/30/1995,Morang,Nepal, Diploma in Business Administration ,,,,,Readmission-Withdrawn,"Sep 3, 2021",Administrative withdrawal,2021,Entrepreneurship 
MBA,2020,Male,27/02/1997,Lalitpur,Nepal,Bachelor's Degree in Hotel Management,,Unemployed,Works in education ,Retired,Graduate,"March 12, 2022",,2022,Dual (Entrepreneurship & Finance)
MBA,2020,Female,05/31/1995,Kathmandu,Nepal,Bachelor's Degree in Business Studies,54.65,Employed,Shopkeeper,Shopkeeper,Graduate,"March 12, 2022",,2022,Entrepreneurship 
MBA,2020,Male,07/08/1993,Kathmandu,Nepal,Bachelor's Degree in Humanities and Social science,58.79,Employed,House Wife,Engineer,Graduate,"March 12, 2022",,2022,Agribusiness Management
MBA,2020,Female,08/24/1995,Kathmandu,Nepal,Bachelor of Business Administration,3.25,Employed,N/A,N/A,Graduate,"March 12, 2022",,2022,Entrepreneurship 
MBA,2020,Male,04/11/1992,Kathmandu,Nepal,Bachelor of Business Administration in Banking and Insurance,,Employed,Business,Business,Graduate,"March 12, 2022",,2022,Dual (Entrepreneurship & Finance)
MBA,2020,Female,11/20/1996,Lalitpur,Nepal,Bachelor of Business Administration,79.97,Employed,Housewife,na,Withdrawn ,"May 11, 2021",Administrative withdrawal,2021,Nonprofit Management
MBA,2020,Female,06/101995,Kathmandu,Nepal,Bachelor of Business Administration,3.41,Employed,Housewife,Mechanic (two-wheelers),Graduate,"March 12, 2022",,2022,Entrepreneurship 
MBA,2020,Female,05/25/1993,Sindhuli,Nepal,Bachelor of Business Administration,3.07,Entrepreneur,housewife,Expired ,Readmission-Running,,,1899,Entrepreneurship 
MBA,2020,Female,02/26/1996,Kathmandu,Nepal,Bachelor Degree in Humanties and Social Science,,Employed,Business,Media Personality,Graduate,"March 12, 2022",,2022,Entrepreneurship 
MBA,2020,Female,09/15/1998,Kathmandu,Nepal,Bachelor of Science in Environmental Science,,,,,Graduate,"March 12, 2022",,2022,Dual (Entrepreneurship & HRM)
MBA,2020,Female,14/04/1996,Kathmandu,Nepal,Bachelor of Business Administration in Banking and Insurance,2.74,Unemployed,Service,Service,Graduate,"March 12, 2022",,2022,Entrepreneurship 
MBA,2020,Female,07/22/1993,Kathmandu,Nepal,Bachelor's Degree in Business Studies,49.29,Unemployed,Household,Entrepreneur ,Graduate,"March 12, 2022",,2022,Entrepreneurship 
MBA,2020,Female,07/09/1994,Kathmandu,Nepal,Bachelor of Business Administration Travel and Tourism,2.4,Unemployed,Housewife,Businessman,Withdrawn ,"October 14, 2020",Personal Reason,2020,Agribusiness Management
MBA,2020,Male,06/21/1997,Kathmandu,Nepal,Bachelor Degree in Hospitality Management,3.58,,,,Graduate,"March 12, 2022",,2022,Marketing Management
MBA,2020,Male,10/01/1996,Kathmandu,Nepal,Bachelor of Business Administration,7.28,Employed,House Wife,Business man,Graduate,"March 12, 2022",,2022,Technology and Innovation
MBA,2020,Male,12/22/1990,Kathmandu,Nepal,Bachelor of Science In Computer Security and Forensics,,Employed,Businesswoman,Businessman,Graduate,"March 12, 2022",,2022,Human Resources Management 
MBA,2020,Female,29/12/1997,Kathmandu,Nepal,Bachelor of Business Administration,3.27,Employed,Homemaker ,Head of Liaison Department ,Graduate,"March 12, 2022",,2022,Marketing Management
MBA,2020,Male,07/09/1996,Baglung,Nepal,Bachelor's Degree in Business Studies,50.9,Unemployed,House Wife,Professor/ Advocate ,Graduate,"March 12, 2022",,2022,Agribusiness Management
MBA,2020,Male,02/10/1991,Surkhet,Nepal,Bachelor's Degree in Agriculture,78.07,Employed,Businesswomen,Businessman,Graduate,"March 12, 2022",,2022,Nonprofit Management
MBA,2020,Male,03/29/1992,Lalitpur,Nepal,Bachelor of Science in Environmental Science,3.3,Employed,Assistant Professor,Retired,Graduate,"February 27, 2023",,2023,Entrepreneurship 
MBA,2020,Male,09/13/1997,Kavreplanchok,Nepal,Bachelor of Science in Business and Management,,Unemployed,Freelancer ,Senior Accountant ,Graduate,"March 12, 2022",,2022,Technology and Innovation
MBA,2020,Female,08/31/1992,Bhaktapur,Nepal,Bachelor's Degree in Information Management,3.62,Employed,N/A,N/A,Graduate,"March 12, 2022",,2022,Entrepreneurship 
MBA,2020,Male,11/02/1993,Baitadi,Nepal,Bachelor's Degree in Computer Application,6.63,,,,,,,1899,
FALSE,,,,,,Bachelor's Degree in Humanities and Social science,257,,,,Graduate,"March 12, 2022",,2022,Technology and Innovation
MBA,2020,Male,12/06/1995,Bhaktapur,Nepal,Bachelor's Degree in Science and Technology,73.26,Employed,Finance Director,Executive Director,Graduate,"March 12, 2022",,2022,Technology and Innovation
MBA,2020,Male,07/21/1989,Nawalpur,Nepal,Bachelor of Science in Computer Networking and IT Security,,Employed,N/A,N/A,Readmission-Withdrawn,"March 13, 2023",Administrative withdrawal,2023,Agribusiness Management
MBA,2020,Female,01/12/1995,Kavreplanchok,Nepal,Bachelor of science,2.98,,,,Graduate,"March 12, 2022",,2022,Nonprofit Management
MBA,2020,Female,08/02/1982,Lalitpur,Nepal,Bachelor's Degree in Business Studies,44.64,Employed,Housewife ,He was a Officer in Government Office,Graduate,"October 31, 2022",,2022,Marketing Management
MBA,2020,Male,08/24/1994,Kathmandu,Nepal,Bachelor's Degree in Business Studies,46.45,Unemployed,Lawyer,Human resource specialist,Graduate,"March 12, 2022",,2022,Marketing Management
MBA,2020,Male,06/23/1992,Kathmandu,Nepal,Bachelor's Degree in Business Management,,Unemployed,Housewife,Businessman,Graduate,"April 24, 2022",,2022,Dual (Entrepreneurship & HRM)
MBA,2020,Female,05/28/1997,Kathmandu,Nepal,Bachelor of Pharmacy,2.95,Employed,Housewife,Business,Withdrawn ,"May 29, 2020",Personal Reason,2020,Dual (Entrepreneurship & HRM)
MBA,2020,Male,05/26/1997,Kathmandu,Nepal,Bachelor's Degree in Civil Engineering,3.568,Employed,N/A,Businessman ,Graduate,"March 12, 2022",,2022,Dual (Entrepreneurship & HRM)
MBA,2020,Female,04/17/1996,Kathmandu,Nepal,Bachelor of Science in Computing,,Unemployed,Housewife,Construction,Graduate,"March 12, 2022",,2022,Nonprofit Management
MBA,2020,Female,07/24/1994,Morang,Nepal,Bachelor's Degree in Business Studies,53.21,Employed,Home Maker,Retired Banker,Graduate,"March 12, 2022",,2022,Marketing Management
MBA,2020,Male,02/26/1996,Kathmandu,Nepal,Bachelor's Degree in Business Studies,46.2,Unemployed,House wife,Self Owned Business,Graduate,"October 31, 2022",,2022,Marketing Management
MBA,2020,Male,03/10/1997,Kathmandu,Nepal,Bachelor of Business Administration,,Employed,Businesswomen,Businessman,Graduate,"March 12, 2022",,2022,Entrepreneurship 
MBA,2020,Female,03/14/1997,Kathmandu,Nepal,Bachelor's Degree in Information Management,,Employed,Housewife,Business Man,Readmission-Withdrawn,"July 7, 2022",,2022,Marketing Management
